WISEID,Answer,KIScore
118372,it is alike beacouse the green house lets heat in.,2
118360,it holds heat into it just like the solar oven.,3
118356,"Well the glass acts like a trap to heat, the heat can get in but cant escape. The heat will stay in the glass house to help the plants",3
118347,Because they can work the same way.,2
118371,1. the sunlight does jot go anywere,3
118368,they are the same,2
118364,because the heat goes in but it keep reflecting and heating up the box and the box keeps the heat inside,3
118362,"In both pictures, some energy needs to stay inside",3
118397,I think B first because in Picture B we would be outside on Earth while the sun would be shining down on our solar oven. I also think B because in picture a we wouldn't be in a greenhouse testing our solar ovens.,2
118393,0,1
118417,because i explaned that earth would get the choice since the solor enger would get at the green house,2
118403,yes because they both save energy and light .,3
118410,yes becas it is right,2
118392,they are not similar because the solar oven lets the heat out ,2
118394,The A picture is like a solar oven because glass let the sun come in and in the solar oven the sunlight reflects on the food which cooks it.,3
118413,Reason one is that we are using the sun to heat the oven and we are using both of the same glass for the experiment.,2
118408,"because the sun bonses off the roof
",2
118409,because it is simalar to the green house,2
118401,They both act like a oven they keep the energy from getting out. They use the energy to warm up the earth and plants and an oven for warming up food.,4
118405,"one is because the sun passes there the glass so the the plantes get the sun and they can grow 
one more is that the sun is has to hit the glass before getting to the plants so the sun has to hit the solar before getting to whats getting heated ",2
118402,1. It is absorbing the heat 2.It keeps the heat energy from ecscaping ,4
118406,"They are both similar to solar oven because, they both do act like a giant window the makes the heat more powerful.",2
118400,i think they are both similar because in one picture there is reflection and in the other one there is heat coming out.,2
118415,Picture A is similar to a solar oven because it preserves heat and also reflects light.,3
118398,only part A because it shows how it is like a soleronven and the other resone is that it keeps the house clen,2
118395,A is because allowing the heat to go to it. Also it is making the heat hotter and reflecting of the glass.,2
118412,because the house is like the food and the sun is heating it up,2
118391,The green house and earth's atmosphere are both trapping the heat energy from the sun just like a solar oven does. The solar oven traps heat energy from the sun to heat things up and/or cook things like a green house and the earth's atmosphere.,2
118411,The light gets bounced off just like figure b.,2
118407,Picture A is like the Picture B and both a similar to the solar oven.,2
118414,"The could air would be gone.
The heat will stay in the box.
The box has to be filed with heat.",2
118418,"If one is the same, the other has to be the same. Every thing is the same except the solar oven is smaller.",2
118416,0,1
118396,i said the sun because sometimes the help plant grow and the reason is that the sun make plant grow like fruit and other,2
118419,A good reson is that they do not have any thig coments,2
118404,0,1
118439,Both are similar because it lets light in and traps it.,4
118437,In b the sun reflects like a solar oven.In picture a the sun does not reflect.,2
118438,I think A is similar because it will stay in the shelter for a while but the heat will be released eventually,2
118443,"Picture A is similar to my solar oven because the heat from the sun is reflecting off of the glass and heating up the building, the sun is going to reflect off of something and heat up the ""oven"".",2
118456,Picture 5 because the sunlight doesn't get out but it bounces around.,3
118455,the plastic and tinfoil in the oven act like glass to magnify heat to use it too cook food.,2
118446,"The pictures are both similar to my solar oven because they both reflect sunlight onto something to heat it up, or in my case, bake it. They also all use only solar energy to complete the task being shown in their pictures.",3
118440,"1.it is similar because it is solar and uses the sun
2.the box is using the sun to make the plants grow",2
118451,the sun bonce off the reflted surface warming up the black surface.,2
118462,i don't know yet because we haven't made the ovens,1
118442,because the heat is bouncing off of earth and it is heating earth.,2
118447,"1. picture a is similar because the glass is absorbing the reflection and realising(<-sp?) heat on the inside thus creating a greenhouse effect.
2.picture b is not similar because its not collecting the sun's heat in one spot.",2
118441,In picture A the light is bouncing off the glass like in the solar oven. In picture B the same thing is happening.,3
118452,"One of my reasons are that the glass is heating up the room in the green house, my second reason is that it looks like a box too
                    ",2
118461,It is no because solar ovens have heat reflected from the sun and it goes to the (for example) hotdog.  With the greenhouse the warmth from the sun comes inside but doesn't get out of the house.,2
118460,Yes because the picture is the same thing but just using earth. Another one is that tehy are both collecting sun.,2
118464,yes because if  it was b then it would just go back,2
118453,We all know there is heat on earth well it seems like there is some heat in the green house too. Another answer is that There is heat in both green house and the earth.,2
118458,The light is bouncing off the walls and going in the plants[picture A]. The light is bouncing off of the atmospher's wall and the earth and some of the light is traveling into the earth[picture B]. The light going into the eart and plants is like the heat going into whatever you are cooking in the solar oven.,3
118454,"I don't really know how solar ovens work, so I took a guess...",1
118457,yes both are similar because they look the same ,2
118445,"I chose that both are similar because the glass traps the heat, making the inside hot. Also, the glass magnifies the heat inside, like the glass in the solar oven.",3
118450,"I think both because maybe the solar oven absorbs heat also like the green house, using shiny reflections to capture the heat.",2
118459,picture a is simalar by the green keeps the atmasphere inside like a solar oven.,2
118463,because the solar oven has reflective sides so the suns heat will hit the object,2
118448,They are both alike because the metal will absorb the heat and the shiny part will reflect the heat back in just like the atmosphere keeps heat in. This is also like the greenhouse in the way that the walls keep heat in.,3
118444,"they are similar because they hold in the suns rays, just like the solar oven does, only smaller. It cant be one or the other, because they both hold in the suns rays.",3
118476,0,1
118481,it shows that sun is shining on the plants through the glass onto the plants like how a soler oven works,2
118535,"yes,both are similar to the solar oven because they both attract heat just like the solar oven will. Also, they both are used for making something turn into something else. a seed into a plant, a raw hot dog into a cooked hot dog. ",2
118540,I haven't experimented the solar oven yet.,2
118544,the heat goes into the comartment and heats it,2
118527,I guessed,1
118557,One reason both pictures are similar is the both reflect heat. Another reason they are both similar is that they both use heat to help you.,2
118528,picture b is just to open and different from the oven picture a is smaller more like the oven,2
118531,0,1
118524, Picture A and B are similar to the solar oven we're creating because they both collect solar energy to heat or to keep warm.,3
118545,the light is heating the solar oven. And the light is getting heated by the green house gasses,3
118558,0,1
118561,"They are not similar because the oven reflects heat inside and outside the oven.
They are not similar because the oven is supposed to cook while greenhouses and earths atmosphere are supposed to keep heat.",3
118525,both because they both collect sun.they both reflect sun,2
118539,the light gets trapped in the oven,3
118554,the plastic is absorbing and the insidious is reflicting,2
118566,The sun is pointing the direction of the green house and is making heat inside of it.,2
118565,Its because it acts as if it were a solar oven and has the same reaction as if it were also a solar oven.,2
118550,"It uses the sunlight to ""heat"" the plants. It uses solar powered energy",3
118551,0,1
118547,i think because the window get really warm so you can cook something ,2
118560,because the sun is involed,2
118568,prqueenuna entrael calor y enlaotra no,2
118553,they are not simaler because they do not have anything in commen. they don't  have the same things.,2
118546,                                            ,1
118538,For question A the energy wont be able to escape. For question B the energy is going but some of the energy is ascapeing,2
118552,i don't know,1
118563,We did not do the solar oven yet.,2
118555,they are both simaler because both of them are like each other,2
118569,"I think that because the pictures both look like the sun is projecting on it,and because it also looks like the picture from the solar oven.",2
118571,it is similar because they are both using energy from the sun and they are both using heat,3
118559,i dont know j,1
118564,Both are the same because they show the rays and the heat.,2
118570,0,1
118585,no it is not because#1it doesn't match the sentence#2it does not have the same meaning &#3 is that I . ,2
118590,   the cold air stays in and the heat goes out.,2
118575,"First,the unique glass keeps the sunlight flowing through the box or green house.
Second,the sun and the atmosphere keeps in all the gasses and keeps sunlight flowing in and out of the earth constantly.
Third,a solar oven has the suns rays hitting what ever your cooking on the solar oven.",3
118594,"1 because the glass is in the roof and the heat come in 
2 it has the same effects 
",2
118586,"because you want the heat to be in the box
",2
118595,well how picture a looks like thats how my oven kinda work the heat work the way the picture looks like.,2
118578,the sun in Picture A is supposed to warm up the green house just like the solar oven. The goal on both is to warm up the oven or in this case the green house just using the sun.,2
118593,"First, on picture B it reflects the heat just like the solar oven. 
Secondly, in picture A its heats the greenhouse just like it will heat the solar oven.",2
118582,because it heats the inside,2
118587,i picked that anwser because the sun is reflection off the box,2
118588,Yes.,1
118589,0,1
118579,The reason neither are similar is because both show sun going in and gas coming out. Solar ovens reflect the sun's energy and turn it into heat.,3
118603,cause it like the solar oven with the heat coming in and out. ,2
118592,My first reason is that is that both pictuers are  simalar to the solar oven because the green house kept the hot and the atmosphere  lets the hot air in . Seacond reason is that the hot from the atmosphere will let the hot air in and it goes to the solar oven .,2
118584,I think they are both are similar because they are holding something from the sun just like the solar oven will. They are also similar because it is heating something up.,2
118576,"First, it is simalar because the sun is reflecting off it and heating something.
Second, it is simalar because the sun is heating the green house and putting sunlight on the plants.",3
118599,Because it looks like a box and there is heat inside.,2
118577,"1 because solar ovens work the same way
2 because as the solar oven the greenhouse reflects light too",2
118591,yes they are because the glass in the greenhouse is reflecting from the sun an ,2
118580,one reason is the  suns solar energy is going in then going out.my second reason is it looks like the one from the video.                                                                   ,3
118598,Picture A is similar because it's reflecting the sunlight back inside much like the solar oven.,3
118581,Picture a looks similar because its absorbing heat and like warming up the plants like a solar oven would do.,2
118619,no because they are not ovens. no because they don't like ovens,2
118608,The a picture looks like similar to a solar oven because there is heat and the plants look like they have heat and the squiggly lines look like it.,2
118597,I think it is picture B because it also is observing light ,3
118630,0,1
118583,because the solar oven holds in the heat*and the amplifises the heat,3
118637,because the sun is heating both of them.And they provied enrgy,3
119017,Reason one is that we get heated up but the sun. Reason 2 is that we have ovens.,2
118296,"We used plexiglas to trap in heat.
It trapped in heat.",3
118300,"Yes because the greenhouse is reflecting the heat from the greenhouse garden and my solar oven reflects with tinfoil to.

We put dark construction paper at the bottom that heats up the food.",2
118302,0,1
118310,"The first reason is that my solar is like the green house because heat enters, it bounces in there to keep it warm,and it makes it warm in there and makes the things inside hot to meat or grow.",3
118304,They all trap heat inside and they all are powered by SR.,5
118313,They both absorb sunlight so they get hotter. They also both trap sunlight so it stays where it is.,4
118319,our box traps heat like the atmosphere or the greenhouse.,3
118297,They bot are absorbing heat and they are both heating something up with heat.,2
118298,Well A/B acts like our solar oven because they both absorb the heat. And then when they're done absorbing the heat they both reflect the heat back out.,3
118311,Because the heat is hiting whatever is inside and there is glass like the plexi glass in our solar oven project.,2
118305,it would heat it up,2
118293,"They are both similar to the solar oven because the glass, the atmosphere, and the plexi glass let light and heat in but not out. Also, the green house earth and solar oven are the same because they all heat up the intirior of them. Finally, they are all the same because they all work in the same way because they all use solar energy to heat up and they all slighty reflect and keep heat energy trapped inside.",5
118299,My first reason is that well on a solar oven its needs heat and that's solar radiation and the picture on A has solar radiation.My second reason is that on picture A it has green house and if you think about picture A and a solar oven i would think that the green house is the solar oven.,3
118309,because is a green house that absorbs heat.,2
118307,One my solar oven has some material to keep my heat in (plexi-glass). Two it has reflectors (tin foil).,3
118306,all 3 of the objects bring in heat and let go of cold air,2
118308,they are both using the sun and they are both using heat to help the plants grow,2
118321,Yes because both of them are absorbing solar radiation and you can see the solar radiation bouncing of both of the pictures,3
118312,Picture B is similar to my solar oven because the solar radiation gets absorb and some gets reflective and the solar oven does the same too.,3
118318,#N/A,1
118303,picture b  because it is simular to our solar oven,2
118314,0,1
118301,I think that they that picture A looks similar because it it looks like a solar oven except it is in a house form and because your trying to attract the sun. ,2
118316,it is similar because it is kind of like a box,2
118320,There both similar because the sun is shining in both of the pictures.,2
118294,The heat gets trapped inside the greenhouse just like with the solar oven.,3
118315,one is that our solar oven has plexi glass which acts like a green house second our box keeps heat in the box like how the atmosphere keeps the earth warm,3
118323,picture (a) is really similar to our solar oven because it has the glass to keep the heat inside just like the greenhouse. ,3
118482,None of them are cause mine just goes up.And cause mine has something on the  top.,2
118478,The heat is collecting in the green house and it's heat up the inside and all the plants.,2
118479,"1.The heat affects the oven
2.It bounces off the oven
3.The heat goes into the atmosphere",2
118480,I think this one is the one thats mostly similar because it traps the heat just like the box.,2
118473,because the heat obsorbes and it will be hot inside?,2
118474,im in a rush so im guesing b,1
118483,The two reasons are because the Sun shines on our box and gets reflected by our aluminum flap and into our box.  The second reason is we have something that absorbs heat.,2
118470,Picture A is more similar to our solar oven because when the heat goes into the box the heat is supposed to stay trapped inside and not reflect back up.,3
118472,0,1
118468,"They are both similar because they both have the same uses, but different actual objects/things. The glass in the greenhouse, the atmosphere, and the plastic wrap in the solar oven all have the same uses. Also a few other things that right now I can't remember what, have the same uses too.",3
118475,They both get some light reflected and some absorbed like the oven.,3
118477,None of them are similar because both of our solar ovens are shaped as a box and it is not a planet or a greenhouse .,2
118465,"The solar oven's plastic wrap let solar radiation in. Also, it trapped the solar radiation in. It worked like the glass/ atmosphere. ",4
118487,we had plastic rap and that trapped the air to,2
118488,0,1
118486,Picture A because it absorbs the heat like the oven and it traps the heat and energy as the green house.,4
118484,It reflex like ours and it provides heat for our food...,2
118485,i think that picture A is similar is because the light heats the greenhouse and the oven up.,3
118490,"because the greenhouse is the box. the food are the plants, and the ",2
118467,picture b is similar to my solar oven because the plexi glass keeps in the heat and will burn the food.,3
118471,Our solar oven keeps in heat and it absorbs Solar Radiation.,4
118469,In A the heat goes in. In A the heat doesn't come out.,3
118466,"In my solar oven the heat stayed inside the oven.  Also heat was able to get in,but not escape.",3
118543,I think neatheir because the green houses heat is obsorving and picture b some heat is reflecting. Another one is they are comparing the greenhouses and the earth.,2
118515,they are both a little bit the same because picture A shows that the heat stays inside. On the second picture it looks like some of it is reflecting off too. So it is a little bit of both.,3
118517,thay are just doing the same thing basically.,2
118533,picture B is most similar because the green house is like a solar oven box.,2
118518,They are like ovens because they trap the heat in and make the space heat up like and oven.,3
118548,Yes they are both similar because because heat is geting obsorbed. Also they are all reflecting the energy.,3
118522,its like the greenhouse because it keeps heat in. it also reflects heat,3
118562,k,1
118526,It is similar because the sun hits the earth.1.it is just like it because some of the heat goes in to the box.2.most of the heat did not go in to the box.,2
118567,"One reason is because once the heat got in our solar oven, it was trapped inside there. Another reason is because the heat was be able to warm up the thermometer, like the sun warms up the earth.",3
118516,I think this because i dont really have a reflecter.,2
118521,the atmosphere acts like our plexiglass.,3
118520,#N/A,1
118514,"First of all, in both pictures a and b some sunlight is passing through the atmosphere or glass as it would pass through the Plexiglas on our solar oven. Also, some of the sunlight is bouncing off the earths surface or the plants and some is getting absorbed like on the black paper of our solar oven",4
118512,"A is similar because the heat only goes in and not out like the first picture. Also, the green house and my solar oven both are using heat to provide it for the objects inside.",3
118509,Some air gets absorbed. Some air gets reflected.,2
118534,because you have to have things like plastic rap tin foil,2
118519,Because the solar oven attracks the sun but the picture B doesen't. And picture a does.,2
118511,"Because the heat in are second one wont get as must heat.
",2
118542,Picture a is similar because the solar energy was trapped in the box and didn't get out of the box and reflect somewhere else. In picture b the solar energy is being reflected somewhere else.,3
118537,"First, it is similar because the picture shows the sun absorbing into the object. Second of all, because it shows that after it absorbs the heat it reflects off the object,in this case it is reflecting off the  food inside the box.",2
118529,Yes picture B is similar to my solar oven. The first reason is my solar oven obsorbed some heat but it also reflected heat. My second reason is that the atmosphere acts like the outside of the box it doesn't let heat get out.,3
118536,"1, in A the greenhouse is shaped like a box and the earth isn't. 2, the solar oven is made out of man made materials like the greenhouse and unlike the earth.",2
118523,0,1
118530,"1.because the sun (light) goes into the panels (box)
2.the greenhouse (box) absorbed the light that goes into it.",3
118510,Both pictures are very similar. They are both also similar to solar ovens because they heat up when solar radiation enters and turns into heat.,4
118513,"It keeps heat inside, and heat bounces off the walls like picture A.",3
118556,It is similar because the plastic rap keeps the heat in the box and it is similar because the tin foil reflects the heat.,2
118549,"1 reason is because the lid the lid traps the sunlight.
reason 2 is that we used black paper to absorb the the sunlight so just like the plants they both absorb sunlight",3
118607,the two pictures show that the place will heat up like our oven. both the things let solar radiation in but did not let it in like our solar oven did.,3
118622,Yes they are both similar because they attract heat.,2
118604,our solar oven had glass to prevent the  heat from escaping,3
118614,one reason is they both absorb heat.Another is that they are both hand made.,2
118628,"First, they both absorb, and collect the Solar Radiation and turn it into Heat. Secondly, they both Reflect some of the Solar Radiation. ",4
118632,1.Because it absorves heat just the solar oven 2.My solar oven has plastic wrap as the roof 3.There is shiny reflections in the green house,2
118602,"i said A is similar because the green house is like a box and the green house is traping the heat into the ""box""",3
118600,We put plastic wrap on the top to keep the heat inside.,2
118623,The heat is going to earth like the heat is going into the box. The earth is also giving off heat and the box gives of some heat. ,2
118613,are solar oven absorbs some heat and reflects some also,2
118610,the light gets trapped in the solar oven heating the oven. and the light bounces around and off our reflective sheet.,4
118618,Picture A is similar because our solar oven lets in heat ,2
118626,"         My solar oven is like picture A because it lets heat in and not out,also it reflects the sun,and it got 80.4 c.",3
118621,because we added glass and it was similar to part b because it reflected off,2
118611,#N/A,1
118606,they are because when the heat hits the plastic wrap it traps the heat in to keep the oven warm and the heat reflects the from the foil and heats the food. ,3
118620,it traps the heat in and it gets hotter,3
118616,The solar oven keeps the suns energy from escaping to heat up the temperature. The solar oven reflects the sun.,4
118601,One reason they are the same because they use reflectors. They are also they same because the reflector let heat come in and escape.,2
118615,"Picture A cause, we put plastic wrapper on top of the solar oven to heat up the oven to reflect. And when you put a food inside the solar oven, then the food will be heated.",2
118624,1.I chose that answer because Picture B is showing light being reflected.2.The plastic wrap on my solar oven helped reflect the light that was given. ,3
118634,#N/A,1
118609,#N/A,1
118612,the oven is like the earth and the greenhouse because it lets the heat in but not out untill a while,3
118947,Both try to keep the energy to pass through it then keep it.,4
118344,1. it is similar to my solar oven because it keeps heat in but still gose out,3
118337,  ,1
118358,because the sun is reflecting off and because we did not use greenhouse gases and finally we did not need a greenhouse.,2
118350,"There are both alike because one, the greenhouse and the earth greenhouse affect are mostly the same thing and two, our plastic wrap acts as the greenhouse roof and earth's atmosphere.",3
118353,Because the reflection is like the foil. Also the black paper holds in the heat.,2
118346,"because the green house in a close space, and glass is like a plastic warp.",2
118366,Both are like a solar oven because the solar oven is based on both of the designs shown,2
118352,The reason both are similar to the solar oven we created is that the solar oven like the pictures a and b reflect light but absorbs light as well.,3
118355,It shows that the heat in a is going in the same and out slowly just like ours. The desingn is very simiar to our oven because it stays in and only goes out if it is to hot.,3
118338,"One reason is that ""A"" only has it going through the glass. Another reason is that ""B"" has heat only reflecting off.",2
118348,yes both because some heat obsorbeds and reflects.,2
118349,a is simaler cause it does the same thing as a solar oven and it show you how it work and also how a solar oven works to,2
118354,because my solar oven the heat comes in and the solar oven comes in .but B it bounce off the the earth,2
118351,The glass absorbs the heat just like the plastic wrap absorbs the heat. And cold air goes out. Also there is something easy to heat up.,2
118361,"It is  similar because I think picture A and B are similar because in are solar oven the box was really hot so in like picture a it did not let the heat go  it so i think are solar oven did it to but picture B  shows that the heat goes out so I think ares goes out to.




 the heat goes out so i think are to. 





",3
118345,because ours lets it in but doesn't let it out.,2
118341,All three have a surface screen that traps the SR and IR inside. As well as a ever rising temperature.,5
118367,because they look diffrent from each other.,2
118343,"Well, A and B are the same as my solar oven because heat passes through the atmosphere, but it also goes out. And heat can also be reflective because we had tin foil to reflect the sun.",2
118357,because the fist reason is thet they bothe obsorb the heat and light and let it in.,3
118369,#N/A,1
118339,"This picture relates to our solar oven because first, we have a plastic wrap that acts like the atmosphere and second, the heat waves go through our oven the same way.",2
118372,picture a is like the oven beacouse it has a roof and it keeps the heat inside.,3
118360,picture a is getting cold air out an hot air in so it is like our solar oven.and part b getts warm air in and cold air out like our solar oven.  ,2
118356,both of these are nor simular,2
118347,It is the same because we used plexiglass and the heat stayed inside but did not go outside.,3
118371,". it reflects sun light
. it has solar radiation
. it gets hot. ",3
118368,"heat can reflect through plastic wrap,the same way it goes through glass.",2
118364,because like the A greenhouse the glass keeps the heat from escaping. also B is like my solar oven because it also lets heat in but doesn't let it out.,3
118362,#N/A,1
118397,Our solar oven had plexiglass on top and it looked just like it.,2
118393,  I said both are similar to my solar oven because we had plastic over my solar oven and plastic acts like the same to glass. Another reason why I think my solar oven was the same because it still absoured heat.,2
118417,0,1
118403,It is similar to my solar oven because it didn't let the heat out and because they both attract the sun light.,4
118410,It is similer because it is.,2
